collection,name,lrv,r,g,b
3D-System plus,3D Aprico 175,74,255,216,198
3D-System plus,3D Aprico 180,79,253,228,216
3D-System plus,3D Papaya 5,10,97,75,66
3D-System plus,3D Papaya 10,18,126,105,94
3D-System plus,3D Papaya 15,25,147,126,116
3D-System plus,3D Papaya 20,36,169,150,142
3D-System plus,3D Papaya 25,48,193,175,168
3D-System plus,3D Papaya 30,63,222,205,199
3D-System plus,3D Papaya 35,14,135,88,64
3D-System plus,3D Papaya 40,22,161,115,92
3D-System plus,3D Papaya 45,30,177,138,118
3D-System plus,3D Papaya 50,40,191,157,140
3D-System plus,3D Papaya 55,53,210,180,166
3D-System plus,3D Papaya 60,67,231,209,198
3D-System plus,3D Papaya 65,21,177,104,61
3D-System plus,3D Papaya 70,27,188,123,89
3D-System plus,3D Papaya 75,36,204,147,115
3D-System plus,3D Papaya 80,46,216,167,140
3D-System plus,3D Papaya 85,57,226,187,168
3D-System plus,3D Papaya 90,71,242,215,201
3D-System plus,3D Papaya 95,27,212,115,62
3D-System plus,3D Papaya 100,34,223,136,86
3D-System plus,3D Papaya 105,42,229,153,110
3D-System plus,3D Papaya 110,51,234,172,137
3D-System plus,3D Papaya 115,61,244,194,166
3D-System plus,3D Papaya 120,73,252,218,201
3D-System plus,3D Papaya 125,34,243,125,47
3D-System plus,3D Papaya 130,41,253,145,79
3D-System plus,3D Papaya 135,49,255,164,108
3D-System plus,3D Papaya 140,57,255,180,135
3D-System plus,3D Papaya 145,67,255,201,169
3D-System plus,3D Papaya 150,77,255,221,201
3D-System plus,3D Ceramic 5,20,140,112,93
3D-System plus,3D Ceramic 10,28,165,136,117
3D-System plus,3D Ceramic 15,40,191,162,145
3D-System plus,3D Ceramic 20,42,187,165,152
3D-System plus,3D Ceramic 25,49,199,180,169
3D-System plus,3D Ceramic 30,57,215,197,189
3D-System plus,3D Ceramic 35,41,198,161,139
3D-System plus,3D Ceramic 40,48,211,176,157
3D-System plus,3D Ceramic 45,54,225,185,163
3D-System plus,3D Ceramic 50,56,225,188,165
3D-System plus,3D Ceramic 55,59,224,196,179
3D-System plus,3D Ceramic 60,76,251,224,209
3D-System plus,3D Ceramic 65,36,197,149,117
3D-System plus,3D Ceramic 70,48,224,172,139
3D-System plus,3D Ceramic 75,65,245,204,176
3D-System plus,3D Ceramic 80,72,254,214,187
3D-System plus,3D Ceramic 85,78,251,223,207
3D-System plus,3D Ceramic 90,83,249,235,229
3D-System plus,3D Amber 5,10,99,77,61
3D-System plus,3D Amber 10,17,128,107,93
3D-System plus,3D Amber 15,25,149,129,116
3D-System plus,3D Amber 20,35,170,151,140
3D-System plus,3D Amber 25,48,191,177,167
3D-System plus,3D Amber 30,62,222,207,200
3D-System plus,3D Amber 35,15,137,91,56
3D-System plus,3D Amber 40,23,159,119,88
3D-System plus,3D Amber 45,31,177,139,112
3D-System plus,3D Amber 50,41,193,159,137
3D-System plus,3D Amber 55,53,210,183,166
3D-System plus,3D Amber 60,66,232,211,198
3D-System plus,3D Amber 65,22,176,110,52
3D-System plus,3D Amber 70,29,191,131,80
3D-System plus,3D Amber 75,37,204,148,106
3D-System plus,3D Amber 80,46,215,168,133
3D-System plus,3D Amber 85,57,226,190,162
3D-System plus,3D Amber 90,70,242,215,197
3D-System plus,3D Amber 95,30,217,125,48
3D-System plus,3D Amber 100,37,221,145,74
3D-System plus,3D Amber 105,45,229,163,102
3D-System plus,3D Amber 110,53,236,178,131
3D-System plus,3D Amber 115,63,243,197,160
3D-System plus,3D Amber 120,73,253,219,195
3D-System plus,3D Amber 125,38,251,139,34
3D-System plus,3D Amber 130,46,255,158,63
3D-System plus,3D Amber 135,53,255,173,96
3D-System plus,3D Amber 140,60,255,189,128
3D-System plus,3D Amber 145,68,255,203,158
3D-System plus,3D Amber 150,77,255,223,194
3D-System plus,3D Siena 5,17,122,103,90
3D-System plus,3D Siena 10,24,143,127,115
3D-System plus,3D Siena 15,34,166,152,142
3D-System plus,3D Siena 20,50,193,181,175
3D-System plus,3D Siena 25,68,220,211,207
3D-System plus,3D Siena 30,77,235,228,224
3D-System plus,3D Siena 35,22,143,118,101
3D-System plus,3D Siena 40,32,167,144,128
3D-System plus,3D Siena 45,45,193,172,158
3D-System plus,3D Siena 50,62,217,201,189
3D-System plus,3D Siena 55,67,230,210,195
3D-System plus,3D Siena 60,81,250,234,222
3D-System plus,3D Siena 65,16,130,100,75
3D-System plus,3D Siena 70,23,157,121,90
3D-System plus,3D Siena 75,28,173,135,103
3D-System plus,3D Siena 80,33,178,146,121
3D-System plus,3D Siena 85,49,207,180,160
3D-System plus,3D Siena 90,61,236,205,183
3D-System plus,3D Siena 95,39,193,158,130
3D-System plus,3D Siena 100,51,220,180,153
3D-System plus,3D Siena 105,53,221,184,158
3D-System plus,3D Siena 110,63,240,198,171
3D-System plus,3D Siena 115,73,246,216,193
3D-System plus,3D Siena 120,76,249,226,208
3D-System plus,3D Siena 125,37,209,150,93
3D-System plus,3D Siena 130,35,196,148,106
3D-System plus,3D Siena 135,47,224,173,130
3D-System plus,3D Siena 140,66,255,203,160
3D-System plus,3D Siena 145,75,254,219,191
3D-System plus,3D Siena 150,79,255,229,213
3D-System plus,3D Siena 155,28,196,126,60
3D-System plus,3D Siena 160,40,232,154,87
3D-System plus,3D Siena 165,48,236,171,120
3D-System plus,3D Siena 170,56,255,182,112
3D-System plus,3D Siena 175,62,255,195,141
3D-System plus,3D Siena 180,68,255,208,154
3D-System plus,3D Onyx 5,39,171,161,155
3D-System plus,3D Onyx 10,50,193,183,176
3D-System plus,3D Onyx 15,54,199,190,185
3D-System plus,3D Onyx 20,62,213,202,196
3D-System plus,3D Onyx 25,62,212,203,199
3D-System plus,3D Onyx 30,71,227,221,219
3D-System plus,3D Onyx 35,18,120,109,99
3D-System plus,3D Onyx 40,27,147,135,124
3D-System plus,3D Onyx 45,43,182,171,160
3D-System plus,3D Onyx 50,66,222,210,200
3D-System plus,3D Onyx 55,72,227,218,209
3D-System plus,3D Onyx 60,81,243,235,227
3D-System plus,3D Onyx 65,34,173,148,124
3D-System plus,3D Onyx 70,53,206,188,171
3D-System plus,3D Onyx 75,62,227,202,182
3D-System plus,3D Onyx 80,67,230,210,192
3D-System plus,3D Onyx 85,76,238,225,213
3D-System plus,3D Onyx 90,82,250,236,222
3D-System plus,3D Onyx 95,25,150,126,102
3D-System plus,3D Onyx 100,35,182,153,124
3D-System plus,3D Onyx 105,48,214,178,142
3D-System plus,3D Onyx 110,57,223,194,164
3D-System plus,3D Onyx 115,67,235,210,186
3D-System plus,3D Onyx 120,81,251,233,216
3D-System plus,3D Onyx 125,34,186,147,110
3D-System plus,3D Onyx 130,42,210,165,117
3D-System plus,3D Onyx 135,53,226,184,141
3D-System plus,3D Onyx 140,62,236,201,164
3D-System plus,3D Onyx 145,71,246,216,186
3D-System plus,3D Onyx 150,77,255,228,206
3D-System plus,3D Onyx 155,29,185,133,71
3D-System plus,3D Onyx 160,34,192,147,94
3D-System plus,3D Onyx 165,48,229,173,120
3D-System plus,3D Onyx 170,57,242,190,133
3D-System plus,3D Onyx 175,65,251,205,157
3D-System plus,3D Onyx 180,75,255,223,190
3D-System plus,3D Onyx 185,40,219,155,86
3D-System plus,3D Onyx 190,42,231,163,88
3D-System plus,3D Onyx 195,51,245,180,109
3D-System plus,3D Onyx 200,60,255,195,131
3D-System plus,3D Onyx 205,68,255,211,158
3D-System plus,3D Onyx 210,85,249,238,229
3D-System plus,3D Onyx 215,35,223,140,37
3D-System plus,3D Onyx 220,41,239,154,51
3D-System plus,3D Onyx 225,55,255,184,87
3D-System plus,3D Onyx 230,56,255,184,93
3D-System plus,3D Onyx 235,63,255,197,116
3D-System plus,3D Onyx 240,69,255,208,147
3D-System plus,3D Marill 5,11,102,86,67
3D-System plus,3D Marill 10,18,125,109,92
3D-System plus,3D Marill 15,27,146,132,117
3D-System plus,3D Marill 20,37,169,155,142
3D-System plus,3D Marill 25,49,193,180,168
3D-System plus,3D Marill 30,66,222,212,201
3D-System plus,3D Marill 35,17,133,106,67
3D-System plus,3D Marill 40,23,149,125,90
3D-System plus,3D Marill 45,32,170,145,114
3D-System plus,3D Marill 50,42,186,164,138
3D-System plus,3D Marill 55,52,205,185,162
3D-System plus,3D Marill 60,69,232,217,201
3D-System plus,3D Marill 65,27,173,129,62
3D-System plus,3D Marill 70,34,189,145,87
3D-System plus,3D Marill 75,41,202,164,114
3D-System plus,3D Marill 80,50,213,179,136
3D-System plus,3D Marill 85,59,226,197,161
3D-System plus,3D Marill 90,73,241,222,199
3D-System plus,3D Marill 95,40,218,159,59
3D-System plus,3D Marill 100,46,225,171,86
3D-System plus,3D Marill 105,54,237,187,113
3D-System plus,3D Marill 110,59,237,195,131
3D-System plus,3D Marill 115,66,243,206,157
3D-System plus,3D Marill 120,77,255,227,195
3D-System plus,3D Marill 125,57,255,187,48
3D-System plus,3D Marill 130,60,255,195,80
3D-System plus,3D Marill 135,64,255,204,107
3D-System plus,3D Marill 140,68,255,211,135
3D-System plus,3D Marill 145,73,255,217,154
3D-System plus,3D Marill 150,79,255,228,184
3D-System plus,3D Palazzo 5,35,159,154,149
